n_steps,Is,infection_period,detection_time,reinfection_probability,Ns,peak_value,peak_time,β_det,death_rate,β_und,migration_intensity,seed,C
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.33311103701233746,14,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.0,42,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,14,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.0,43,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",0.3333333333333333,17,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.0,44,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,16,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.1,42,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.1,43,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,35,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.1,44,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,16,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.2,42,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.2,43,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.2,44,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,15,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.3,42,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,17,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.3,43,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,19,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.3,44,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,18,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.4,42,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,18,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.4,43,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,21,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.4,44,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,20,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,42,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,21,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,43,3
150,"[1, 0, 0]",14,7,0.1,"[1000, 1000, 1000]",1.0,19,"[0.05, 0.05, 0.05]",0.02,"[0.5, 0.5, 0.5]",0.5,44,3
