time,S,I,R
0.0,990.0,10.0,0.0
0.5,2.470515921533679e-7,952.6913722338408,47.30862751910782
1.0,3.2825262888575447e-7,906.2280656435034,93.77193402824419
1.5,-1.783636760942204e-7,862.0308018392562,137.9691983391076
2.0,-2.6596867131292996e-7,819.9890636317914,180.0109366341776
2.5,2.3890109457382247e-7,779.9977246032449,220.00227515785443
3.0,-3.2351820676751474e-7,741.9567872372219,258.0432130862966
3.5,-2.3068325891167544e-7,705.7711276509754,294.22887257970865
4.0,3.040391885285702e-8,671.3502633347017,328.64973663489513
4.5,3.633589038405224e-8,638.608124622852,361.39187534081327
5.0,-3.5473438411036683e-7,607.4628392559872,392.5371610987485
5.5,-3.489567995242552e-8,577.8365266883387,422.1634733465581
6.0,2.3002941102069046e-7,549.6551064738578,450.34489329611404
6.5,3.245977425997997e-8,522.8481107914696,477.1518891760721
7.0,-3.6105722347753697e-7,497.3485079216514,502.6514924394074
7.5,-2.036254438775515e-7,473.09253482669186,526.9074653769352
8.0,4.3915285148154694e-7,450.0195390054679,549.9804605553809
8.5,1.58380042849727e-7,428.07182736178936,571.9281724798323
9.0,-2.0805648412032852e-7,407.19451834532447,592.8054818627337
9.5,-2.44635626405445e-7,387.3354073922432,612.664592852394
10.0,1.2209087475285935e-7,368.44483630736596,631.5551635705448
10.5,1.7393543984717695e-7,350.4755695430562,649.5244302830101
11.0,6.835219466541645e-8,333.38267441519093,666.6173255164589
11.5,-1.721566871720899e-7,317.1234097598931,682.8765904122655
12.0,3.640463182130446e-7,301.65711803322426,698.342881602731
12.5,-3.928334206885401e-7,286.9451275232552,713.05487286958
13.0,-3.7931587502540654e-7,272.9506485229007,727.0493518564169
13.5,1.909582208215509e-7,259.63868775907196,740.3613120499716
14.0,-2.2568017258069464e-7,246.97595994304797,753.024040282634
14.5,4.244406525577393e-7,234.93079960212717,765.069199973434
15.0,-2.0551165642703877e-8,223.4730897279214,776.5269102926317
15.5,3.9266542629515415e-7,212.5741781204254,787.425821486911
16.0,3.8282784213949743e-7,202.20681310784585,797.7931865093282
16.5,-2.610982693188006e-7,192.34507108901417,807.6549291720862
17.0,-2.874083043434518e-7,182.96429131668995,817.0357089707205
17.5,4.387918860641775e-7,174.04101681982632,825.9589827413839
18.0,-4.9946694088086945e-8,165.552936737287,834.4470633126618
18.5,1.9370211457980457e-7,157.47882449529058,842.5211753110095
19.0,-9.032975183815449e-8,149.79849187088334,850.2015082194486
19.5,4.084364772279063e-7,142.49273271790094,857.5072668736648
20.0,3.193209252243946e-7,135.54328020810286,864.4567194725784
20.5,-3.452321717230431e-7,128.9327570779251,871.0672432673092
21.0,3.490654824020551e-7,122.64463163525267,877.3553680156839
21.5,4.0485115987332845e-7,116.6631822954377,883.3368172997132
22.0,2.94276427748791e-7,110.97345184635866,889.0265478593669
22.5,-3.4770892697677987e-7,105.56121336426042,894.4387869834505
23.0,3.245866819038032e-7,100.41293158060283,899.5870680948126
23.5,2.996843091698421e-7,95.5157351288974,904.4842645714203
24.0,3.3249661082145327e-7,90.85737770976843,909.1426219577369
24.5,2.1748115945084322e-7,86.4262112096313,913.5737885728894
25.0,-3.2402274208598735e-7,82.21115568374853,917.788844640276
25.5,2.563606689112694e-7,78.20166974164103,921.7983300020001
26.0,2.0150791687334972e-7,74.3877293458234,925.6122704526706
26.5,-4.328669700905499e-9,70.75979717244135,929.2402028318892
27.0,1.0700007788165781e-7,67.30880103045469,932.6911988625471
27.5,3.5801347368235514e-7,64.02611181042565,935.9738878315627
28.0,-1.892473675089746e-7,60.903522023096436,939.0964781661528
28.5,9.5270976995345e-8,57.93322192724885,942.0667779774818
29.0,-2.4597348042817176e-7,55.10778569196806,944.8922145540071
29.5,2.409993111463107e-7,52.42014679132022,947.5798529676821
30.0,2.7927111483267754e-7,49.8635860141036,950.136413706627
30.5,1.562046169302453e-7,47.431710337864025,952.5682895059331
31.0,1.965021751768356e-7,45.11843847944296,954.8815613240566
31.5,3.1127638240082644e-7,42.91798614377007,957.0820135449553
32.0,4.6031673926926554e-8,40.824851512304654,959.1751484416654
32.5,-2.544617118034276e-7,38.83380031012305,961.1661999443405
33.0,2.0976099303964797e-7,36.93985306437987,963.060146725861
33.5,-1.6603420768768167e-7,35.13827554055361,964.8617246254826
34.0,2.0006412058668313e-7,33.42456125884522,966.5754385410926
34.5,-2.2843678099195543e-7,31.794426593380233,968.2055736350585
35.0,7.754078144126194e-8,30.243793812974292,969.7562061094868
35.5,2.128867108009845e-7,28.76878644255905,971.2312133445561
36.0,-4.2549396765488027e-8,27.365716418934543,972.6342836236166
36.5,-1.7212148823896044e-7,26.031074813396206,973.9689253587271
37.0,-1.9265701185256578e-7,24.761524343261115,975.2384758493978
37.5,-1.8430446495962422e-7,23.553890551890564,976.4461096324158
38.0,-1.7809110946570502e-7,22.405153757092073,977.594846421001
38.5,-1.5761379352201888e-7,21.312441501856767,978.687558655759
39.0,-8.008036693905465e-8,20.273021393274032,979.7269786868083
39.5,7.365576712226276e-8,19.284294321304294,980.7157056050419
40.0,1.6926169443268687e-7,18.343788089047823,981.6562117416925
40.5,-2.7771149279420554e-8,17.449151179070576,982.5508488487026
41.0,-1.2864190241459336e-7,16.5981461344686,983.4018539941753
41.5,7.209061896295638e-8,15.788644799281089,984.2113551286303
42.0,3.698931336580816e-8,15.018623540348578,984.9813764226642
42.5,-1.0223028719579735e-7,14.286156758951414,985.7138433432809
43.0,1.229511232601058e-7,13.589412454854063,986.4105874221968
43.5,-8.369934890162343e-8,12.926649187318679,987.0733508963826
44.0,6.056848134260511e-8,12.296208926547628,987.7037910128859
44.5,-5.520137263225156e-8,11.696515853107146,988.3034842020961
45.0,5.142506751845511e-8,11.126069937867323,988.8739300107095
45.5,-6.033109106588884e-8,10.583445206193085,989.4165548541399
46.0,7.625958098315659e-8,10.067284371518975,989.9327155522234
46.5,-5.882629599556494e-8,9.576297210767184,990.423702848061
47.0,4.358362029064564e-8,9.109255627964114,990.8907443284542
47.5,-2.134298118777968e-9,8.664991976663165,991.3350080254731
48.0,-3.625242810478105e-8,8.242395373954484,991.7576046622999
48.5,5.2830945086145465e-8,7.840408966926897,992.1595909802442
49.0,-9.832125423356432e-9,7.4580276473394544,992.5419723624946
49.5,-2.721035225667164e-8,7.094295390563244,992.905704636649
50.0,3.2626352371071526e-8,6.748302561441019,993.2516974059346
50.5,1.042867170031958e-8,6.419183836655685,993.5808161529176
51.0,-2.126098008544674e-8,6.10611641473204,993.893883606531
51.5,-4.0319699927483355e-9,5.808317796141059,994.1916822078929
52.0,2.5912635189078124e-8,5.525042863116199,994.4749571109732
52.5,5.916617260878597e-9,5.255582973358132,994.7444170207272
53.0,-1.0456821665627559e-8,4.999264813099993,995.0007351973588
53.5,-7.339437640276229e-9,4.755448096561779,995.2445519107796
54.0,8.802350181590362e-9,4.523522538269726,995.4764774529299
54.5,1.2066784520856961e-8,4.302907733844414,995.6970922540908
55.0,2.8575214173862987e-9,4.093051167047084,995.9069488300973
55.5,-3.1848872464829816e-9,3.893429808684469,996.1065701945023
56.0,-3.820102182356173e-9,3.703545377616773,996.2964546262052
56.5,2.0542690256297738e-10,3.522922388870442,996.477077610926
57.0,5.158461305480476e-9,3.3511081536381555,996.6488918412053
57.5,4.89258005839507e-9,3.1876724691171443,996.8123275259921
58.0,2.55980031342681e-9,3.0322042000003404,996.9677957974418
58.5,9.046433849980276e-10,2.8843179160891155,997.1156820830081
59.0,-1.301158480115371e-12,2.7436464346480522,997.2563535653552
59.5,-2.03620129693885e-10,2.6098383273598387,997.3901616728457
60.0,1.3492327757358966e-10,2.482557920325269,997.5174420795418
60.5,7.343894884394977e-10,2.3614852940632503,997.6385147052042
61.0,1.1976625469257048e-9,2.2463162835107866,997.7536837152935
61.5,1.0623524060573077e-9,2.136762072735095,997.8632379262044
62.0,7.811531900947571e-10,2.0325446537975305,997.9674553454232
62.5,5.939411563246435e-10,1.9334075375018502,998.0665924619061
63.0,4.701008732319103e-10,1.8391072543103957,998.1608927452213
63.5,3.8508915403504896e-10,1.7494100107870147,998.2505899888298
64.0,3.2043505668616185e-10,1.6640916895970588,998.3359083100844
64.5,2.6373988387087837e-10,1.5829378495073845,998.4170621502308
