β,peak_I,final_R
0.1,955.6259671178624,999.9543789676393
0.15,954.1568964325846,999.9544516223223
0.2,953.4236812173194,999.9544864197684
0.25,952.9841976491506,999.9545097137793
0.3,952.6913722338408,999.9545235233455
0.35,952.4823042281081,999.9545352233995
0.4,952.3255540093832,999.9545430130877
0.45,952.2036643215463,999.9545482376041
0.5,952.1061667265196,999.9545540811837
0.55,952.0264101284722,999.9545584068086
0.6,951.9599529308233,999.9545617869182
0.65,951.903726956126,999.9545635678049
0.7,951.8555405370915,999.9545665066449
0.75,951.8137812354347,999.9545693681603
0.8,951.7772424502738,999.9545703252898
