N,S,R,mean_time,std_time,min_time,max_time
5,2,1,71.97001357120313,35.63162164688168,16.737743800096037,132.84539829888567
5,2,2,66.401802233641,32.66776355983962,23.806053441037886,153.633107660631
5,2,3,62.31936056621604,35.953223165823886,14.022754817983706,145.34562362778738
5,3,1,79.8080784974164,42.812345811362746,16.3817228033433,189.13612695320592
5,3,2,82.37671397541719,35.69426122247884,38.62097480454474,147.65148991440816
5,3,3,69.68968997321502,35.40936291045276,25.722309583875006,144.5129088319693
5,5,1,119.49190486762919,45.5436485683285,49.74184756517522,225.28788214966
5,5,2,113.42399544068807,42.737687516694095,53.331810387116306,221.41233842480355
5,5,3,110.41335217945004,57.57324453615559,54.02674888332642,272.567476513211
10,2,1,28.1293046080568,18.8302846711995,2.316444756031474,66.6990652682812
10,2,2,32.498289374178306,23.974887141548482,7.912227106187218,122.30463061613668
10,2,3,29.59714940702715,22.119018239586627,9.969029418649907,109.67943770179569
10,3,1,37.61359348517308,14.407518536003714,18.28433344947581,68.35689968612525
10,3,2,42.28847181551793,20.164056870628272,7.871617189785381,81.67815512826691
10,3,3,37.72151620768653,23.441412259087542,10.082574512781164,94.57396542769872
10,5,1,59.74275850336956,19.615626672019065,28.018123396874735,91.25155029188032
10,5,2,56.83336409842716,12.85935835531887,39.609340059431325,89.21307391783982
10,5,3,75.94565066490462,31.687230612639972,32.27859415651053,139.5290250469362
15,2,1,15.712253479145668,10.470938171780826,4.960368361338195,39.32526373140656
15,2,2,20.755342106470682,11.330394531371422,2.1926822459982196,49.35756796291875
15,2,3,21.41573119750496,16.51548977954231,5.102506794805676,60.502955061544185
15,3,1,27.752567074139357,12.768416289732631,6.6980672206383725,57.45542603362291
15,3,2,23.608901495296557,14.63296429400089,10.678740974636264,74.43576613793985
15,3,3,28.760211506349215,16.83880565921835,9.3231630785855,59.35977731976868
15,5,1,38.09442593497069,18.03190867696296,17.18893809632439,95.39608773247109
15,5,2,38.04044482242445,14.534643785348305,17.310329749463357,75.49822073037774
15,5,3,42.54263618606317,26.70164967825507,11.883244457471362,120.45909503225694
